[2025-04-16 11:18:47] CPU: 29.3%, Memory: 23.7%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 21.03 KB/s, Network Received: 557.92 KB/s
[2025-04-16 11:18:47] CPU: 56.1%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 12.75 KB/s, Network Received: 447.46 KB/s
[2025-04-16 11:18:47] CPU: 54.3%, Memory: 23.8%, Disk Read: 72.00 KB/s, Disk Write: 0.00 B/s, Network Sent: 7.23 KB/s, Network Received: 591.88 KB/s
[2025-04-16 11:18:48] CPU: 35.7%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 6.83 KB/s, Network Received: 574.29 KB/s
[2025-04-16 11:18:48] CPU: 25.6%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 108.00 KB/s, Network Sent: 7.61 KB/s, Network Received: 654.80 KB/s
[2025-04-16 11:18:49] CPU: 28.9%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 8.24 KB/s, Network Received: 668.21 KB/s
[2025-04-16 11:18:49] CPU: 50.0%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 9.16 KB/s, Network Received: 772.96 KB/s
[2025-04-16 11:18:49] CPU: 30.0%, Memory: 23.7%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 7.17 KB/s, Network Received: 546.11 KB/s
[2025-04-16 11:18:50] CPU: 30.0%, Memory: 23.7%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 7.37 KB/s, Network Received: 610.52 KB/s
[2025-04-16 11:18:50] CPU: 61.5%, Memory: 23.6%, Disk Read: 0.00 B/s, Disk Write: 312.00 KB/s, Network Sent: 7.70 KB/s, Network Received: 703.10 KB/s
[2025-04-16 11:18:50] CPU: 37.8%, Memory: 23.6%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 6.61 KB/s, Network Received: 489.76 KB/s
[2025-04-16 11:18:51] CPU: 42.2%, Memory: 23.5%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 7.50 KB/s, Network Received: 534.04 KB/s
[2025-04-16 11:18:51] CPU: 28.9%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 336.00 KB/s, Network Sent: 11.06 KB/s, Network Received: 929.87 KB/s
[2025-04-16 11:18:52] CPU: 30.8%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 8.17 KB/s, Network Received: 669.56 KB/s
[2025-04-16 11:18:52] CPU: 31.8%, Memory: 23.9%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 9.01 KB/s, Network Received: 760.80 KB/s
[2025-04-16 11:18:52] CPU: 47.5%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 8.28 KB/s, Network Received: 826.55 KB/s
[2025-04-16 11:18:53] CPU: 69.2%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 7.36 KB/s, Network Received: 601.21 KB/s
[2025-04-16 11:18:53] CPU: 60.0%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 7.89 KB/s, Network Received: 695.05 KB/s
[2025-04-16 11:18:53] CPU: 27.0%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 188.00 KB/s, Network Sent: 7.67 KB/s, Network Received: 711.15 KB/s
[2025-04-16 11:18:54] CPU: 26.3%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 7.84 KB/s, Network Received: 703.10 KB/s
[2025-04-16 11:18:54] CPU: 44.4%, Memory: 23.7%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 9.54 KB/s, Network Received: 913.76 KB/s
[2025-04-16 11:18:55] CPU: 46.2%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 8.84 KB/s, Network Received: 782.27 KB/s
[2025-04-16 11:18:55] CPU: 51.3%, Memory: 23.9%, Disk Read: 0.00 B/s, Disk Write: 92.00 KB/s, Network Sent: 9.28 KB/s, Network Received: 972.80 KB/s
[2025-04-16 11:18:55] CPU: 38.5%, Memory: 24.0%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 6.83 KB/s, Network Received: 619.91 KB/s
[2025-04-16 11:18:56] CPU: 38.1%, Memory: 24.0%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 11.15 KB/s, Network Received: 711.15 KB/s
[2025-04-16 11:18:56] CPU: 31.6%, Memory: 24.0%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 8.50 KB/s, Network Received: 648.86 KB/s
[2025-04-16 11:18:57] CPU: 31.7%, Memory: 24.0%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 7.66 KB/s, Network Received: 631.99 KB/s
[2025-04-16 11:18:57] CPU: 28.2%, Memory: 24.0%, Disk Read: 0.00 B/s, Disk Write: 224.00 KB/s, Network Sent: 8.14 KB/s, Network Received: 743.42 KB/s
[2025-04-16 11:18:57] CPU: 27.3%, Memory: 24.1%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 5.89 KB/s, Network Received: 485.73 KB/s
[2025-04-16 11:18:58] CPU: 39.5%, Memory: 24.1%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 4.42 KB/s, Network Received: 14.72 KB/s
[2025-04-16 11:18:58] CPU: 27.0%, Memory: 24.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 23.95 KB/s, Network Received: 1.97 KB/s
[2025-04-16 11:18:58] CPU: 25.0%, Memory: 24.2%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 27.89 KB/s, Network Received: 4.45 KB/s
[2025-04-16 11:18:59] CPU: 42.2%, Memory: 24.1%, Disk Read: 0.00 B/s, Disk Write: 112.00 KB/s, Network Sent: 19.25 KB/s, Network Received: 2.97 KB/s
[2025-04-16 11:18:59] CPU: 45.5%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 68.00 KB/s, Network Sent: 12.53 KB/s, Network Received: 4.22 KB/s
[2025-04-16 11:19:00] CPU: 28.2%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 18.11 KB/s, Network Received: 3.15 KB/s
[2025-04-16 11:19:00] CPU: 20.5%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 20.51 KB/s, Network Received: 688.00 B/s
[2025-04-16 11:19:00] CPU: 46.5%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 24.73 KB/s, Network Received: 2.16 KB/s
[2025-04-16 11:19:01] CPU: 38.5%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 15.16 KB/s, Network Received: 1.92 KB/s
[2025-04-16 11:19:01] CPU: 55.3%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 9.68 KB/s, Network Received: 2.91 KB/s
[2025-04-16 11:19:01] CPU: 23.1%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 32.00 KB/s, Network Sent: 27.35 KB/s, Network Received: 774.00 B/s
[2025-04-16 11:19:02] CPU: 26.3%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 17.89 KB/s, Network Received: 1.83 KB/s
